gender,Age,Distance_Mean,Distance_Min,Distance_Max,Distance_SDev,Distance_Median,Median Speed_Mean,Median Speed_Min,Median Speed_Max,Median Speed_SDev,Median Speed_Median,Record_Count
"Male",101.000000,0.558288,0.029888,2.510925,0.598417,0.318926,4.476415,0.051335,13.441176,3.511107,4.582842,74
"Female",86.000000,0.564747,0.085821,2.504467,0.770747,0.161804,3.590303,0.228071,11.312525,3.614370,1.641884,18
"Female",70.000000,0.456279,0.000000,5.539506,0.765780,0.214038,1.872034,0.000000,9.789591,1.971125,1.484106,192
"Male",118.000000,0.791467,0.062551,3.034819,0.500153,0.818796,6.602651,0.325410,12.962613,4.166650,7.725247,82
"Female",69.000000,0.965956,0.000000,3.474084,0.750090,0.826731,3.936538,0.000000,9.543508,2.099269,3.952194,321
"Female",17.000000,0.618440,0.000000,4.259587,0.548335,0.498825,3.393674,0.000000,12.598366,2.755576,2.833060,679
"Female",18.000000,0.967952,0.000000,3.903187,0.960660,0.741254,4.515956,0.000000,15.239706,3.635948,4.549760,989
"Male",79.000000,0.532316,0.073770,3.034953,0.617288,0.252001,3.235055,0.288665,11.034089,3.120859,1.536147,34
"Male",16.000000,0.750876,0.000000,6.175909,0.818926,0.640434,4.339908,0.000000,17.018229,3.574003,3.520934,230
"Female",72.000000,1.223890,0.000000,2.386697,0.818367,0.977912,4.193870,0.000000,7.232416,2.139997,4.807508,82
"Female",87.000000,1.248991,0.419161,1.835444,0.440267,1.331281,6.775906,0.081237,8.994515,3.176632,8.159239,7
"Female",14.000000,1.028374,0.026028,2.505143,0.410212,1.099182,4.645756,0.302263,7.808688,1.225017,4.501774,182
"Female",16.000000,0.507448,0.000000,4.503313,0.708567,0.558366,2.919941,0.000000,10.634269,3.092309,1.865656,129
"Male",13.000000,0.527646,0.000000,3.339433,0.822513,0.336544,3.007866,0.000000,9.993317,2.743357,2.440559,15
"Male",111.000000,0.545877,0.000000,4.091230,0.737864,0.242753,1.927306,0.000000,7.617499,1.889424,1.189148,84
"Male",15.000000,0.809576,0.000000,3.339433,0.646481,0.526494,5.826909,0.000000,13.347725,3.523884,6.762918,59
"Female",13.000000,0.552750,0.079665,1.818878,0.570155,0.291521,4.304273,0.519557,13.170316,3.611168,2.749087,16
"Male",108.000000,0.881126,0.316611,1.792613,0.461902,0.714036,3.245115,0.672846,4.743513,1.214805,3.214653,10
"Female",76.000000,0.539932,0.000000,1.654264,0.490086,0.424521,1.300208,0.000000,3.515556,1.193748,0.951359,10
"Male",94.000000,0.382595,0.000000,1.217315,0.356448,0.388378,0.906912,0.000000,3.095437,0.893304,0.859827,14
"Female",102.000000,0.601592,0.000000,1.103327,0.454106,0.651520,3.824180,0.000000,6.390931,2.746369,4.452894,4
"Male",81.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,1
"Female",78.000000,0.864965,0.000000,2.962917,0.740846,0.594914,3.596076,0.000000,12.013211,3.207228,2.548527,165
"Male",0.000000,1.196555,0.240135,2.081212,0.716772,0.978875,3.731135,1.739411,4.865226,1.024560,4.064531,7
"Male",88.000000,0.814131,0.177992,1.604179,0.579038,0.634042,4.411879,1.143170,6.559059,1.213595,4.668843,62
"Female",74.000000,0.326281,0.326281,0.326281,,0.326281,4.399298,4.399298,4.399298,,4.399298,1
"Female",80.000000,0.314717,0.033846,0.512619,0.218844,0.489355,1.017869,0.254499,1.734775,0.632927,1.316282,9
"",44.000000,1.058733,0.000000,1.588100,0.916890,1.588100,4.504364,0.000000,7.110897,3.916955,6.402196,3
"Female",107.000000,0.088791,0.088791,0.088791,,0.088791,0.598590,0.598590,0.598590,,0.598590,1
"Male",86.000000,0.123904,0.117054,0.144453,0.013700,0.117054,1.416458,1.106019,1.940416,0.363492,1.309698,4
"Male",,0.515710,0.000000,3.399385,0.672939,0.242753,3.388432,0.000000,12.745134,3.342367,2.424790,245
"Female",84.000000,0.168048,0.168048,0.168048,,0.168048,0.817529,0.817529,0.817529,,0.817529,1
"Female",,1.112306,1.103327,1.121284,0.012697,1.112306,7.124774,5.338681,8.910867,2.525917,7.124774,2
"Female",75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
